keyword,volume,change_3m,change_yoy,competition,cpc_low,cpc_high,group,seed
baby shower,4400,0%,0%,Low,,,baby-shower,yes
revelacion de genero,720,0%,-18%,Low,,,revelacion,yes
decoracion para revelacion de genero,320,+23%,+23%,Low,,,revelacion,
torta para revelacion de genero,210,+24%,0%,Low,,,revelacion,
arco de globos,210,+179%,+22%,Low,,,globos,yes
revelacion de genero ideas,170,+133%,+24%,Low,,,revelacion,
decoracion de revelacion de genero,140,+22%,-35%,Low,,,revelacion,
decoraciones de revelación de genero,140,+22%,-35%,Low,,,revelacion,
decoracion de revelación de genero,140,+22%,-35%,Low,,,revelacion,
ideas para cumpleaños de 1 año varon de rey,140,-36%,-36%,Low,,,primer-anito,
decoracion de dino bebe,140,0%,+55%,Low,,,tematicas,
decoracion de jefe en pañales,140,-47%,-47%,Low,,,tematicas,
revelacion de sexo,110,-36%,-36%,Low,,,revelacion,yes
decoracion de revelacion de genero sencilla,110,+100%,0%,Low,,,revelacion,
decoraciones de revelacion de genero sencillas,110,+100%,0%,Low,,,revelacion,
jefe en pañales 1 añito,110,+22%,-35%,Low,,,primer-anito,
ideas para revelacion de genero,90,+29%,-36%,Low,,,revelacion,yes
idea para revelacion de genero,90,+29%,-36%,Low,,,revelacion,
torta revelacion de genero,90,0%,-22%,Low,,,revelacion,yes
tortas revelación de genero,90,0%,-22%,Low,,,revelacion,
1 anito,90,+29%,-18%,Low,,,primer-anito,
mi primer anito,90,0%,0%,Low,,,primer-anito,
mi primer añito,90,0%,0%,Low,,,primer-anito,
decoracion de jefe en pañales sencilla,90,-22%,-50%,Low,,,tematicas,
decoracion de moana bebe,90,-20%,-20%,Low,,,tematicas,
decoraciones de jefe en pañales sencillas,90,-22%,-50%,Low,,,tematicas,
decoracion revelacion de genero,70,0%,-29%,Low,,,revelacion,yes
ideas para revelación de género sencillo,70,+80%,+29%,Low,,,revelacion,
torta de revelacion de genero,70,+57%,+267%,Low,,,revelacion,
fiesta para bebe de 1 año,70,-29%,0%,Low,,,primer-anito,yes
1 año fiesta de winnie pooh,70,0%,-29%,Low,,,primer-anito,
cumpleaños safari 1 año,70,+40%,-22%,Low,,,primer-anito,
primer añito decoracion del rey leon bebe,70,-22%,0%,Low,,,primer-anito,
guirnalda de globos,70,+29%,0%,Low,,,globos,
arco de globos sencillo,70,+75%,-22%,Low,,,globos,
arco de globos para olimpiadas,70,+1300%,+56%,Low,,,globos,
revelacion de genero sencilla,50,0%,0%,Low,,,revelacion,yes
ideas de revelacion de genero,50,0%,0%,Low,,,revelacion,
decoración para revelación de género sencilla,50,+75%,+75%,Low,,,revelacion,
revelacion de genero decoracion,50,+33%,-20%,Low,,,revelacion,
decoracion para revelacion de genero sencillo,50,+75%,+75%,Low,,,revelacion,
decoracion para 1 añito de nena,50,0%,-50%,Low,,,primer-anito,
decoracion para 1 añito varon,50,-25%,-25%,Low,,,primer-anito,
decoración para 1 año varón,50,-25%,-25%,Low,,,primer-anito,
primer añito nena princesa,50,+40%,+133%,Low,,,primer-anito,
decoracion dino bebe,50,+33%,0%,Low,,,tematicas,yes
dino bebe decoracion,50,-29%,0%,Low,,,tematicas,
fiesta infantil decoracion de moana bebe,50,0%,-29%,Low,,,tematicas,
jefe en pañales decoracion,50,-29%,-29%,Low,,,tematicas,
jefe en pañales decoraciones,50,-29%,-29%,Low,,,tematicas,
moana bebe decoracion,50,0%,+100%,Low,,,tematicas,
moana bebe decoraciones,50,0%,+100%,Low,,,tematicas,
decoracion para revelacion de sexo,40,-67%,-75%,Low,,,revelacion,
decoracion para revelacion del sexo,40,-67%,-75%,Low,,,revelacion,
juegos revelacion de genero ideas,40,+150%,-29%,Low,,,revelacion,
cumpleaños de 1 año varon,40,0%,-50%,Low,,,primer-anito,yes
1 año decoracion de minnie bebe,40,-20%,-20%,Low,,,primer-anito,
cumpleaños 1 año varon animalitos,40,0%,-60%,Low,,,primer-anito,
cumpleaños 1 año varon decoracion,40,-33%,0%,Low,,,primer-anito,
fiesta de blanca nieves 1 año,40,-29%,+25%,Low,,,primer-anito,
